id,category,fault_name,keywords,symptoms,safe_action,price_min,price_max,urgency,warning
elec_001,Sửa điện,Chập điện - Nhảy aptomat,"chập điện,nhảy aptomat,cầu dao nhảy,mất điện đột ngột,điện chập,cháy cầu dao,aptomat nhảy liên tục","Aptomat tự nhảy liên tục, có mùi khét, điện chập chờn hoặc tắt hẳn một khu vực","Ngắt ngay aptomat tổng, không tự sửa, tránh xa khu vực bị chập, gọi thợ điện ngay",150000,500000,high,⚠️ NGUY HIỂM CHÁY NỔ - Không tự sửa chữa
elec_002,Sửa điện,Ổ điện bị hỏng hoặc cháy,"ổ điện,ổ cắm,bị cháy,không có điện ổ cắm,tóe lửa,ổ cắm hỏng,cắm không vào,ổ điện bị cháy","Ổ điện không có điện, cháy đen, phát tia lửa khi cắm thiết bị, ổ bị nóng bất thường","Ngắt cầu dao khu vực đó, không cắm thêm thiết bị vào ổ bị hỏng",80000,250000,medium,
elec_003,Sửa điện,Dây điện hở / Đứt dây / Vỏ cháy,"dây điện,hở dây,đứt dây,giật điện,điện giật,vỏ dây cháy,dây bị hở,dây điện hỏng","Dây bị hở vỏ cách điện, bị giật nhẹ khi chạm vào đồ vật, đường điện mất một khu vực","ĐỪNG CHẠM vào dây hở, ngắt cầu dao ngay, cách ly khu vực nguy hiểm",150000,800000,high,⚠️ NGUY HIỂM TÍNH MẠNG - Không tự sửa
elec_004,Sửa điện,Công tắc đèn hỏng,"công tắc,bật đèn,công tắc hỏng,đèn không sáng,công tắc không bật được,công tắc cũ","Bật công tắc nhưng đèn không sáng, công tắc rung lắc lỏng lẻo, nghe tiếng kêu khi bật","Ngắt điện cầu dao khu vực trước khi thay công tắc",60000,200000,low,
elec_005,Sửa điện,Đèn LED / Bóng đèn hỏng,"đèn hỏng,bóng đèn,đèn led,đèn không sáng,thay bóng đèn,đèn chập chờn,đèn nhấp nháy","Đèn không sáng, sáng chập chờn, nhấp nháy liên tục hoặc sáng yếu hơn bình thường","Tắt công tắc, để nguội bóng đèn trước khi tháo ra",50000,300000,low,
elec_006,Sửa điện,Cầu dao Aptomat cần thay,"thay aptomat,cầu dao hỏng,aptomat cũ,thay cầu dao,aptomat không nhảy,cầu dao gỉ","Aptomat cũ gỉ sét, không còn chức năng bảo vệ hoặc nhảy sai thường xuyên","Ngắt nguồn điện tổng trước khi thay aptomat mới",200000,600000,medium,
elec_007,Sửa điện,Điện bị rò / Thiết bị bị giật,"điện rò,bị giật,rò điện,giật tay khi chạm,thiết bị bị điện","Chạm vào thiết bị bị giật nhẹ, đặc biệt khi ẩm ướt, cảm giác tê tay","Ngắt nguồn thiết bị, không dùng cho đến khi thợ kiểm tra",200000,700000,high,⚠️ RÒ ĐIỆN NGUY HIỂM - Không sử dụng thiết bị
elec_008,Sửa điện,Lắp đặt ổ cắm điện mới,"lắp ổ cắm,ổ cắm mới,lắp ổ điện,thêm ổ điện,lắp thêm điện","Cần thêm ổ cắm điện trong phòng, phòng không đủ ổ cắm điện","Gọi thợ điện có chứng chỉ để lắp đặt an toàn",150000,400000,low,
elec_009,Sửa điện,Hệ thống điện bị quá tải,"quá tải điện,điện yếu,điện không đủ,aptomat nhảy khi dùng nhiều đồ","Aptomat nhảy khi dùng nhiều thiết bị cùng lúc, đèn mờ khi bật bình nóng lạnh","Giảm bớt thiết bị dùng cùng lúc, gọi thợ nâng cấp điện",500000,3000000,medium,
elec_010,Sửa điện,Đồng hồ điện không đếm / Lỗi,"đồng hồ điện,công tơ điện,đồng hồ hỏng,không đếm số điện,công tơ lỗi","Đồng hồ điện không chạy, đếm sai, hoặc bị hỏng do sét đánh","Liên hệ điện lực khu vực để được hỗ trợ",200000,800000,medium,
